魔物：打撃,M ATK,IR,PR,HL,HP,SP,ATK,DEF,INT,RES,HIT,SPD,Mv,Jm,CT,RN,Crit,Innocent
肉球グローブ,Paws Gloves,1,0,80,,,3,,,,1,,,,1,,10,
とがった小骨,Sharp Bone,2,0,200,,,6,,,,3,,,,1,,12,
かぎ爪,Hooked Claw,3,1,500,,,14,,,,7,,,,1,,10,
カニはさみ,Crab Pincer,4,1,1210,,,22,,,,12,,,,1,,10,ya you freezing
蜘蛛の糸,Thread of spider,5,2,1800,,,34,,,,18,,,,1,,10,
くらげの毒針,Stinger of jellyfish,6,2,3000,,,46,,,,25,,,,1,,10,
ボーキュパイン,Bokyupain,7,3,5000,,,62,,,,34,,,,1,,10,
コブラツイスト,Abdominal stretch,8,3,8000,,,79,,,,43,,,,1,,12,
闘牛のツノ,Horn of bullfighting,9,4,12500,,,100,,,,54,,,,1,,10,
あやしい触手,Doubtful 10tacles,10,4,18000,,,121,,,,66,,,,1,,10,
トゲトゲ甲羅,Splinter splinter shell,11,5,24000,,,146,,,,79,,,,1,,10,
ウルフファング,Wolf Fang,12,5,32000,,,171,,,,93,,,,1,,10,
ベアークロー,Beakuro,13,6,45000,,,201,,,,109,,,,1,,10,
ハンマーヘッド,Hammerhead,14,6,60000,,,231,,,,126,,,,1,,10,
イバラのムチ,Thorny whip,15,7,80000,,,265,,,,144,,,,1,,10,
ライオンハート,Lionheart,16,7,100 000,,,299,,,,163,,,,1,,12,
亡者の抱擁,Embrace of the undead,17,8,125 000,,,337,,,,184,,,,1,,10,
ツチノコアタック,Tsuchinoko attack,18,8,"160,000",,,376,,,,205,,,,1,,10,
ジャックランタン,Jack o'lantern,19,9,"200,000",,,419,,,,228,,,,1,,15,
天邪鬼のツノ,Horn of perverse,20,9,"250,000",,,462,,,,252,,,,1,,10,
グレムリン効果,Gremlin effect,21,10,310000,,,509,,,,277,,,,1,,12,
キメラ遺伝子,Chimeric gene,22,10,400000,,,556,,,,303,,,,1,,10,
天狗の葉団扇,Leaves of 10gu fan,23,11,572000,,,608,,,,331,,,,1,,10,Fukisusabuya
火蜥蜴の吐息,Breath of fire lizard,24,11,715 000,,,660,,,,360,,,,1,,12,It burned Gil shop
サンダーバード,Thunderbird,25,12,"800,000",,,716,,,,390,,,,1,,10,
ペガサスのひづめ,Pegasus of the hoof,26,12,1000000,,,772,,,,421,,,,1,,10,
ダークオーラ,Dark Aura,27,13,1400000,,,837,,,,456,,,,1,,10,
コカトリスのくちばし,Beak of cockatrice,28,13,2000000,,,902,,,,492,,,,1,,12,
雷獣の雄叫び,Cry of raijū,29,14,3080000,,,971,,,,529,,,,1,,10,Fukisusabuya
ラミアのとぐろ,Coil-of Lamia,30,14,4200000,,,1040,,,,567,,,,1,,10,
タイタンのこぶし,Fist of Titan,31,15,6000000,,,1114,,,,607,,,,1,,15,
死神の大鎌,Death of scythe,32,15,8400000,,,1188,,,,648,,,,1,,10,
ガルーダの羽,Wings of Garuda,33,16,12000000,,,1270,,,,693,,,,1,,10,
フェンリルの牙,Fang of Fenrir,34,16,17000000,,,1353,,,,738,,,,1,,10,
ドラゴンフォース,Dragon Force,35,-,,,,1452,,,,792,,,,1,,10,
インサニティアイ,Insanity Eye,36,-,,,,1551,,,,846,,,,1,,15,
デビルマトリクス,Devil Matrix,37,-,,,,1661,,,,906,,,,1,,12,
閻魔の怒り,Yama's Wrath,38,-,,,,1771,,,,966,,,,1,,10,
ウロボロスの環,Uroborus Ring,39,-,,,,1936,,,,1056,,,,1,,15,
バールボディ,Bar body,40,-,,,,,,,,,,,,,,,
ルシフェルダイン,Lucifer Dyne,40,-,,,,,,,,,,,,,,,Revenge Booster
魔界ウォーズ,Makai Wars,40,-,,,,,,,,,,,,,,,
